,Imagem,FEX-esperada,FEX-detectada,Tempo
61,2560,angry,sad,2.4760770659995615
62,2707,angry,sad,2.6086452890003784
63,996,angry,angry,2.8820626489996357
64,3406,angry,angry,2.772950965000746
65,3162,angry,angry,2.4733946670003206
66,3279,angry,neutral,2.4520335219995104
67,4264,angry,angry,2.4327484280001954
68,718,angry,sad,2.4249754390002636
69,4072,angry,angry,2.5777482590001455
70,4849,angry,neutral,18.34037230500053
71,3296,angry,sad,8.62840864700047
72,963,angry,disgust,2.555930430999979
73,5364,angry,angry,2.7876136369995947
74,2139,angry,angry,2.6872832080007356
75,830,angry,neutral,2.451186893999875
76,4282,angry,angry,2.5020756080002684
77,2090,angry,fear,2.7331423389996417
78,2305,angry,disgust,2.83785528899989
79,919,angry,angry,2.7605649139995876
80,608,angry,angry,2.637368263999633
81,3607,angry,sad,2.4102540820003924
82,2175,angry,angry,2.404562759000328
83,2823,angry,angry,2.395864830999926
84,4938,angry,angry,2.4118941560000167
85,2750,angry,angry,4.130342790000213
86,1097,angry,angry,16.812024765000388
87,1302,angry,disgust,3.0454897629997504
88,2386,angry,angry,2.46729963100006
89,2031,angry,angry,2.4471178459998555
90,4180,angry,angry,2.5377742370001215
91,3471,angry,angry,2.4495234320002055
92,207,angry,angry,2.430115752999882
93,1455,angry,angry,2.417353660000117
94,1860,angry,angry,2.417038249000143
95,2336,angry,neutral,2.442755441999907
96,592,angry,angry,2.4110506480001277
97,1357,angry,angry,2.470936833000451
98,3558,angry,angry,2.3942642060001162
99,3215,angry,neutral,2.4049299830003292
100,1783,angry,disgust,2.409987966000699
101,2435,angry,angry,2.4071936459995413
102,940,angry,angry,2.382571729999654
103,3904,angry,neutral,4.469005446000665
104,2246,angry,angry,23.19356761600011
105,3433,angry,angry,3.478235202999713
106,2618,angry,angry,2.412269546999596
107,1900,angry,angry,2.9634904859995004
108,380,angry,angry,2.8295199900003354
109,5044,angry,neutral,2.6592349040001864
110,4788,angry,neutral,2.4152027879999878
111,882,angry,disgust,2.5743415490005646
112,1440,angry,angry,2.4242932269999073
113,3709,angry,angry,2.4418807720003315
114,3024,angry,neutral,2.3795278559991857
115,1566,angry,angry,2.4102786190005645
116,1135,angry,fear,2.400367666999955
117,4100,angry,angry,2.4247706229998585
118,5033,angry,neutral,3.214288981000209
119,3461,angry,angry,10.64411038199978
120,1344,angry,angry,3.808650132999901
121,532,angry,angry,2.4776314040000216
122,2612,angry,angry,2.3981508349997966
123,4122,angry,angry,2.435243566999816
124,2202,angry,angry,2.577701287000309
125,3107,angry,angry,2.4492635059996246
126,708,angry,sad,2.3946208739998838
127,2884,angry,angry,2.4076490419993206
128,4432,angry,angry,2.3992734569992535
129,3096,angry,sad,2.393399892999696
130,3424,angry,angry,2.4168130869993547
131,2631,angry,angry,2.4000807210004496
132,2591,angry,angry,2.4061413220006216
133,3395,angry,angry,2.392333454999971
134,5373,angry,disgust,2.41279736999968
135,4405,angry,angry,2.4666852260006635
136,5123,angry,happy,2.39443659600056
137,5465,angry,angry,2.4233413129995824
138,4029,angry,angry,3.0472140019992366
139,2360,angry,angry,3.9918518120002773
140,3991,angry,angry,10.512547741999697
141,2670,angry,fear,2.947951121999722
142,412,angry,angry,2.389058857999771
143,4396,angry,angry,2.457384433999323
144,243,angry,angry,2.5512585330006914
145,1404,angry,angry,2.6251759759998095
146,2549,angry,angry,2.591782559999956
147,2777,angry,disgust,2.4334184109993657
148,1757,angry,angry,2.3999161090005146
149,3192,angry,neutral,2.4485472740007026
150,1064,angry,disgust,2.4842387749995396
151,120,angry,angry,2.532328190000044
152,2888,angry,sad,2.4244324100000085
153,2245,angry,disgust,2.4353617389997453
154,1364,angry,angry,2.4239229550003074
155,1628,angry,angry,2.4591108309996343
156,3138,angry,angry,2.454216271000405
157,5441,angry,angry,2.4417586929994286
158,1367,angry,neutral,2.4585224380007276
159,3757,angry,angry,3.825321423999412
160,727,angry,neutral,4.834728401000575
161,4664,angry,fear,18.075901223000074
162,2600,angry,angry,2.471390286999849
163,4302,angry,neutral,2.4157324520001566
164,4898,angry,angry,2.382283644000381
165,966,angry,neutral,2.4017957579999347
166,2892,angry,neutral,2.413405120999414
167,1231,angry,neutral,2.44706151399987
168,4580,angry,angry,2.448490136000146
169,3648,angry,angry,2.3780711059998794
170,242,angry,angry,2.470354218000466
171,4429,angry,angry,2.405115827999907
172,3618,angry,neutral,2.403168036000352
173,3753,angry,angry,2.4526010019999376
174,2797,angry,neutral,2.398886324999694
175,1345,angry,angry,2.4920984790005605
176,4081,angry,neutral,4.120802559999902
177,453,angry,angry,27.4450130539999
178,2624,angry,angry,2.9713192740000522
179,1639,angry,angry,2.487844498999948
180,2228,angry,neutral,2.4597420119998787
181,975,angry,angry,2.4476967099999456
182,3955,angry,neutral,2.377006751999943
183,3811,angry,angry,2.447134489000746
184,3507,angry,disgust,2.411884588000248
185,4899,angry,angry,2.4677260970001953
186,5316,angry,angry,2.424335917999997
187,5221,angry,angry,2.3734652320008536
188,5363,angry,neutral,2.4212365020002835
189,3547,angry,surprise,2.862211804999788
190,1932,angry,angry,5.326589694000177
191,527,angry,neutral,22.279308228000446
192,3381,angry,sad,2.4842264310000246
193,946,angry,angry,2.4078127989996574
194,3429,angry,angry,2.390117229999305
195,4420,angry,neutral,3.477369013000498
196,4058,angry,angry,2.448974005999844
197,4067,angry,disgust,2.3798256510008287
198,1698,angry,angry,2.4040004230000704
199,1481,angry,neutral,2.3906274800001484
200,3040,angry,neutral,2.4577010940001855
201,4521,angry,sad,2.4085218009995515
202,2047,angry,sad,2.5341168599998127
203,5120,angry,neutral,5.019753455000682
204,3871,angry,angry,25.063548574999913
205,3339,angry,neutral,3.127858073000425
206,519,angry,angry,2.5287579630003165
207,1238,angry,sad,2.548967815000651
208,852,angry,angry,2.5443264650002675
209,4115,angry,angry,2.4325702650003223
210,559,angry,neutral,2.373750986000232
211,4033,angry,sad,2.40398307400028
212,4842,angry,neutral,2.400683934999506
213,5109,angry,disgust,2.4435874760001752
214,1420,angry,fear,2.452623515000596
215,3537,angry,fear,2.444539710999379
216,886,angry,angry,3.2669667709997157
217,270,angry,neutral,3.946931310999389
218,3421,angry,angry,9.836870711000302
219,5019,angry,angry,2.873374908999722
220,2334,angry,sad,2.4606124199999613
221,4896,angry,angry,2.512000882999928
222,3416,angry,sad,2.4311268349993043
223,2421,angry,angry,2.417437307
224,1539,angry,angry,2.4284534300004452
225,1094,angry,neutral,2.3965011669997693
226,2001,angry,angry,2.4101185970002916
227,4218,angry,neutral,2.4042995370000426
228,3417,angry,angry,2.4229665049997493
229,5408,angry,angry,2.385346111999752
230,4651,angry,angry,2.389292720999947
231,47,angry,angry,2.4662282280005456
232,3738,angry,angry,2.456656274999659
233,1328,angry,angry,2.4149274689998492
234,3401,angry,neutral,2.384697880999738
235,1118,angry,angry,2.43459079799959
236,304,angry,angry,2.425519303999863
237,4291,angry,happy,3.483163572000194
238,1863,angry,neutral,20.268258779000462
239,3229,angry,angry,3.364768704999733
240,2762,angry,angry,2.443218325000089
241,1410,angry,surprise,2.435861601000397
242,3531,angry,angry,2.417024486999253
243,4729,angry,happy,2.459214769999562
244,2358,angry,neutral,2.377135986000212
245,3765,angry,angry,2.396522916000322
246,1917,angry,angry,2.4135147979995963
247,2451,angry,angry,2.4002403660006166
248,383,angry,angry,2.4154594399997222
249,3426,angry,neutral,2.386130984999909
250,2338,angry,sad,2.401753240999824
251,4381,angry,angry,2.407984028000101
252,3825,angry,angry,2.4498206280004524
253,2620,angry,angry,2.4915738629997577
254,5191,angry,disgust,4.172394989999702
255,2639,angry,angry,29.094480099000066
256,4816,angry,angry,2.9464477550000083
257,3479,angry,angry,2.4436877100006313
258,386,angry,disgust,2.3934820660006153
259,3307,angry,angry,2.4085884179994537
260,1589,angry,sad,2.3945819079999637
261,4633,angry,angry,2.5066366500004733
262,2916,angry,angry,2.4133373120002943
263,1756,angry,angry,2.4177927500004444
264,3934,angry,angry,2.4260813990003953
265,2889,angry,angry,2.3724007780001557
266,2335,angry,neutral,2.6301255799999126
267,1742,angry,angry,3.320991106999827
268,5025,angry,angry,3.520277655999962
269,3035,angry,angry,15.270326913000645
270,2286,angry,disgust,60.78265695899972
271,137,angry,angry,16.342508331999852
272,1961,angry,angry,2.49825427199994
273,3522,angry,angry,2.4513137390003976
274,1802,angry,angry,2.480799744000251
275,4275,angry,angry,2.4999452749998454
276,2509,angry,angry,2.475719537999794
277,5434,angry,neutral,2.4420017319998806
278,273,angry,angry,2.4386055739996664
279,3523,angry,neutral,2.4410381249999773
280,2088,angry,angry,2.413530560000254
281,1133,angry,angry,2.441463125000155
282,3504,angry,sad,6.086846029000299
283,2382,angry,neutral,28.985816952000278
284,5490,angry,disgust,3.8444950510001945
285,4840,angry,sad,3.010242080000353
286,3830,angry,angry,2.523092137999811
287,199,angry,neutral,2.4499417060005726
288,4813,angry,angry,2.498931172000084
289,1236,angry,angry,2.449470317000305
290,1735,angry,angry,2.412936746000014
291,628,angry,angry,2.439428835000399
292,4214,angry,neutral,2.503566213999875
293,549,angry,disgust,3.7958106299993233
294,2342,angry,angry,4.2518148110002585
295,356,angry,neutral,16.01410560000022
296,3633,angry,sad,3.04532646700045
297,4552,angry,angry,2.4540142320001905
298,3591,angry,sad,2.499355302999902
299,2310,angry,angry,2.447950740000124
300,2555,angry,angry,2.442037935999906
301,2785,angry,angry,2.4111581630004366
302,3880,angry,neutral,2.4954698950004968
303,4541,angry,surprise,2.4333036480002193
304,3405,angry,angry,2.4450965109999743
305,3646,angry,angry,2.4382499470002585
306,3064,angry,angry,2.4659251480006787
307,4973,angry,angry,2.400641941999311
308,859,angry,angry,2.433224411000083
309,4164,angry,angry,2.4498028000007253
310,5151,angry,angry,2.6228879910004252
311,3530,angry,angry,4.899825641999996
312,1782,angry,neutral,24.681708369000262
313,1814,angry,angry,3.8630689900001016
314,2537,angry,angry,2.4471095330000026
315,739,angry,neutral,2.404102239000167
316,4171,angry,angry,2.4394921679995605
317,2768,angry,angry,2.4657868360000066
318,1816,angry,neutral,2.462960855000347
319,278,angry,sad,2.4248375699999087
320,3634,angry,neutral,2.4525451440003962
321,5169,angry,angry,2.412555212999905
322,3213,angry,angry,2.4255340910003724
323,3805,angry,neutral,2.4512363530002403
324,536,angry,angry,2.6968204530003277
325,2570,angry,angry,3.2974821309999243
326,3562,angry,angry,3.720516201000464
327,2731,angry,angry,10.87429183599943
328,4794,angry,disgust,10.384127413999522
329,1656,angry,disgust,2.6072809070001313
330,3353,angry,angry,2.455765390999659
331,890,angry,angry,2.4595399159998124
332,5182,angry,angry,2.4328057709999484
333,5050,angry,surprise,2.458777628000462
334,332,angry,surprise,2.4587843249992147
335,5202,angry,angry,2.491237336999802
336,747,angry,neutral,2.508291301999634
337,2608,angry,disgust,2.453143576000002
338,1800,angry,surprise,2.4573295809996125
339,4422,angry,disgust,2.470685365999998
340,1435,angry,neutral,2.5079274259996964
341,2408,angry,angry,2.583811550000064
342,5347,angry,sad,2.485369582000203
343,3349,angry,happy,3.264611256000535
344,4007,angry,neutral,4.378362231999745
345,901,angry,angry,17.725138296000296
346,1020,angry,angry,2.493528212000456
347,2894,angry,angry,2.485206238000501
348,5119,angry,neutral,2.446852052000395
349,4901,angry,angry,2.4514989079998486
350,2429,angry,angry,3.0423609039999064
351,2367,angry,fear,2.4434635940006046
352,4487,angry,disgust,2.4457184900002176
353,3002,angry,surprise,2.450630401000126
354,4644,angry,fear,2.656143137000072
355,3359,angry,angry,2.485397348999868
356,281,angry,angry,2.528836123000474
357,2585,angry,angry,2.6029854429998522
358,740,angry,angry,2.51554322300035
359,3198,angry,angry,2.669088138999541
360,3305,angry,angry,3.9819277110000257
361,4915,angry,angry,18.689842635000787
362,3533,angry,disgust,3.8642154680001113
363,1771,angry,sad,2.4709338029997525
364,542,angry,surprise,2.4322764540002026
365,644,angry,neutral,2.535640437999973
366,3384,angry,disgust,2.512173600999631
367,2260,angry,disgust,2.4584082689998468
368,2825,angry,neutral,2.4663895220000995
369,317,angry,angry,2.593219668000529
370,3732,angry,angry,2.4808677139999418
371,506,angry,neutral,2.5169577669994396
372,2102,angry,angry,2.516970161000245
373,3635,angry,angry,2.6395336570003565
374,5047,angry,fear,2.5135464329996466
375,4270,angry,angry,2.586513591999392
376,3657,angry,angry,3.3253828759998214
377,1934,angry,angry,3.8204842860004646
378,1567,angry,neutral,3.786449193000408
379,4142,angry,angry,3.1744112890000906
380,2759,angry,angry,2.5569039419997353
381,4028,angry,angry,2.540478466999957
382,3926,angry,angry,2.5172518280005534
383,2308,angry,angry,2.5627475960000083
384,2605,angry,surprise,2.562573213000178
385,15,angry,angry,2.588086234999537
386,2966,angry,surprise,2.594574387000648
387,3451,angry,disgust,2.575966059000166
388,3330,angry,angry,2.5799805719998403
389,1112,angry,angry,2.5328685929998755
390,3496,angry,surprise,2.690737865000301
391,2359,angry,neutral,2.5516838479998114
392,4211,angry,neutral,2.5679625109996778
393,4015,angry,disgust,2.5674545359997865
394,4890,angry,angry,2.601265106000028
395,2402,angry,surprise,2.687689295000382
396,5351,angry,angry,2.5578325579999728
397,655,angry,neutral,2.6056181029998697
398,921,angry,neutral,2.771865106000405
399,804,angry,angry,7.007753734000289
400,4557,angry,neutral,19.080565884999487
401,4513,angry,angry,2.5141468140000143
402,2679,angry,neutral,2.4990533230002256
403,3269,angry,angry,2.4283711660000336
404,870,angry,neutral,2.435845254999549
405,2077,angry,angry,2.5020692929992947
406,4415,angry,angry,2.524027681000007
407,3059,angry,sad,2.6065706410008715
408,4127,angry,angry,2.6008287919994473
409,1485,angry,angry,2.5959488090002196
410,1113,angry,neutral,2.6067674120004085
411,2499,angry,angry,2.6111987929998577
412,2592,angry,disgust,2.7327777999998943
413,230,angry,angry,4.75365168100052
414,980,angry,angry,22.21123594400069
415,1476,angry,surprise,3.0205039180000313
416,5082,angry,angry,2.4368975039997167
417,1758,angry,angry,2.4442987430002177
418,2610,angry,angry,2.4514751790002265
419,5372,angry,angry,2.4068173750001733
420,3194,angry,angry,2.521403798999927
421,4297,angry,angry,2.4582245920000787
422,4958,angry,angry,2.6340890880001098
423,2149,angry,angry,2.491276492999532
424,1222,angry,angry,2.6739720710002075
425,1880,angry,disgust,2.523656420000407
426,3792,angry,angry,2.420828352999706
427,1492,angry,fear,2.472792818999551
428,4779,angry,angry,2.8124683030000597
429,3091,angry,angry,3.573181138000109
430,4285,angry,angry,12.02947962000053
431,3629,angry,angry,3.653224161000253
432,2058,angry,angry,2.4019427949997407
433,4099,angry,angry,2.461130656000023
434,2737,angry,angry,2.3970227499994508
435,690,angry,neutral,2.4230004009996264
436,2915,angry,sad,2.3987866869993013
437,5097,angry,angry,2.4017692309998893
438,407,angry,sad,2.4326010089998817
439,2183,angry,neutral,2.436488522000218
440,3177,angry,angry,2.51059463600086
441,541,angry,angry,2.576447108999673
442,4209,angry,disgust,2.5248767889997907
443,3813,angry,sad,2.4793093050002426
444,2389,angry,angry,2.461227030000373
445,3092,angry,angry,2.472508081000342
446,4014,angry,angry,2.6035090969999146
447,766,angry,neutral,2.6386101719999715
448,3186,angry,angry,3.1185133300004964
449,4402,angry,disgust,3.585182838000037
450,231,angry,angry,7.752088370999445
451,4902,angry,angry,9.021288534000632
452,2442,angry,disgust,2.4067904700004874
453,2093,angry,angry,2.410895839000659
454,3953,angry,angry,2.54102041599981
455,1666,angry,surprise,2.417904104999252
456,3122,angry,angry,2.4007117299997844
457,4806,angry,angry,2.4046058599997195
458,3833,angry,angry,2.4761575980001
459,1233,angry,angry,2.6828597620005894
460,3044,angry,sad,2.4248159219996523
461,807,angry,neutral,2.6090796469998168
462,3111,angry,happy,2.5582018479999533
463,3847,angry,angry,2.4631105210000896
464,3890,angry,angry,2.430351044999952
465,2792,angry,neutral,2.502522308999687
466,502,angry,angry,2.483456576000208
467,3930,angry,neutral,2.5859455969994087
468,810,angry,angry,4.825767335000819
469,3022,angry,angry,17.935215220999453
470,3499,angry,neutral,2.639602671999455
471,2214,angry,angry,2.4426850370000466
472,4243,angry,angry,2.403137200999481
473,176,angry,angry,2.4494737209997766
474,599,angry,surprise,2.4745563420001417
475,715,angry,surprise,2.6049674349997076
476,2495,angry,angry,2.3979500049999842
477,4399,angry,angry,2.4563580610001736
478,415,angry,angry,2.424794448999819
479,3465,angry,surprise,2.418604391000372
480,2861,angry,fear,2.4868746520005516
481,2516,angry,angry,2.4888887359993532
482,4482,angry,neutral,2.575275216000591
483,2339,angry,angry,2.519506843000272
484,2617,angry,angry,3.625292389000606
485,2158,angry,angry,3.9281281520006814
486,3913,angry,fear,20.11626575399987
487,846,angry,angry,3.1595109899999443
488,4237,angry,angry,2.433406673999343
489,138,angry,angry,2.4711241940003674
490,4507,angry,neutral,2.7771731450002335
491,2034,angry,angry,3.0702662009998676
492,3245,angry,disgust,2.4787784840000313
493,5080,angry,angry,2.4658794299994042
494,654,angry,angry,2.5572924059997604
495,5210,angry,disgust,2.4862767180002265
496,367,angry,angry,2.461901709999438
497,864,angry,angry,2.510469861999809
498,3318,angry,angry,2.5073617910002213
499,1329,angry,neutral,2.50746003400036
500,4853,disgust,sad,3.4673800420005136
501,2186,disgust,disgust,5.114806769000097
502,1853,disgust,disgust,15.40124496000044
503,2341,disgust,disgust,2.6330015229996206
504,3334,disgust,disgust,2.444063701000232
505,2677,disgust,disgust,2.481340929999533
506,2120,disgust,happy,2.7457066389997635
507,2488,disgust,disgust,2.4824137969999356
508,5487,disgust,fear,2.5061043369996696
509,4478,disgust,disgust,2.453270304000398
510,3658,disgust,disgust,2.4660433610006294
511,508,disgust,disgust,2.493587701999786
512,1278,disgust,disgust,2.529306323000128
513,5038,disgust,angry,2.528034490999744
514,4076,disgust,disgust,2.5226266910003687
515,434,disgust,happy,3.0143773370000417
516,4577,disgust,angry,2.4664667950000876
517,899,disgust,disgust,3.8425852150003266
518,5456,disgust,angry,9.081568210999649
519,539,disgust,angry,9.780836578000162
520,3497,disgust,neutral,2.4388266539999677
521,2743,disgust,angry,2.4546697639998456
522,4728,disgust,sad,2.4317034790001344
523,748,disgust,happy,2.617511725999975
524,2993,disgust,angry,2.5067656330002137
525,3263,disgust,disgust,2.618251784999302
526,2307,disgust,disgust,2.4332105920002505
527,5024,disgust,disgust,2.5532631909991323
528,2725,disgust,disgust,2.7896317759996236
529,2846,disgust,angry,2.552951283000766
530,381,disgust,angry,2.5107287190003262
531,1805,disgust,neutral,2.5107821789997615
532,4663,disgust,angry,2.5339293189999808
533,4755,disgust,disgust,2.495516130999931
534,907,disgust,fear,2.6157377339995946
535,3402,disgust,happy,4.4217035299998315
536,4883,disgust,disgust,25.099278778000553
537,962,disgust,disgust,23.767434272000173
538,950,disgust,neutral,4.035399665999648
539,4538,disgust,surprise,2.9260077469998578
540,466,disgust,fear,4.993591603999448
541,3741,disgust,angry,20.266017088999433
542,3239,disgust,angry,2.588538151000648
543,854,disgust,angry,2.433678286999566
544,2655,disgust,angry,2.5321893649997946
545,2321,disgust,disgust,2.4105426629994327
546,4112,disgust,neutral,2.5703526209999836
547,4473,disgust,angry,2.7519868669996868
548,4685,disgust,disgust,2.586345706999964
549,4185,disgust,disgust,2.6028383299999405
550,2501,disgust,disgust,2.4543558039995332
551,2074,disgust,angry,2.4570061350004835
552,3153,disgust,angry,2.434021584999755
553,2569,disgust,disgust,4.307356923000043
554,4219,disgust,disgust,21.91067492000002
555,1966,disgust,angry,3.135867944999518
556,5020,disgust,disgust,2.4242333689999214
557,2552,disgust,disgust,2.429882696000277
558,5393,disgust,disgust,2.4725858490000974
559,3675,disgust,fear,2.4429310409996106
560,1654,disgust,disgust,2.59037879600055
561,1670,disgust,neutral,2.4593505630000436
562,246,disgust,neutral,2.5294473909998487
563,1957,disgust,sad,2.8717528409997612
564,2485,disgust,sad,2.454493360000015
565,3489,disgust,fear,2.454900202999852
566,3576,disgust,sad,2.5697168649994637
567,861,disgust,neutral,2.4378058590000364
568,2869,disgust,happy,3.473527353999998
569,712,disgust,neutral,13.54395801100054
570,3541,disgust,sad,6.821938614000828
571,2519,disgust,disgust,2.4803705089998402
572,2880,disgust,angry,2.6522915450004803
573,4306,disgust,sad,2.414998275000471
574,4492,disgust,surprise,2.443766907000281
575,2244,disgust,angry,2.4249646859998393
576,420,disgust,disgust,2.4546043949994782
577,2464,disgust,neutral,2.4790393459998086
578,1260,disgust,disgust,2.4534403210000164
579,944,disgust,neutral,2.414897362999909
580,1247,disgust,sad,2.4516035059996284
581,1796,disgust,surprise,2.4450733650000984
582,4268,disgust,sad,2.4301934549994257
583,4450,disgust,disgust,2.4662389059994894
584,3814,disgust,disgust,2.411307172999841
585,474,disgust,angry,2.4885730830001194
586,4035,disgust,surprise,5.492814236999948
587,530,disgust,disgust,26.225974121000036
588,5354,disgust,disgust,2.721397586000421
589,4453,disgust,disgust,2.5053533970003627
590,1552,disgust,neutral,2.5866058080000585
591,4128,disgust,disgust,2.4723084810002547
592,2129,disgust,disgust,2.7268098690001352
593,2820,disgust,sad,2.5965727469993
594,700,disgust,disgust,2.4383642599996165
595,2146,disgust,disgust,2.458628600999873
596,2710,disgust,sad,2.4326429580005424
597,206,disgust,happy,2.4683159760006674
598,389,disgust,neutral,2.4137355749999188
599,752,disgust,angry,3.1495560000003024
600,145,disgust,angry,4.998343930000374
601,4261,disgust,disgust,11.379351921000307
602,2867,disgust,disgust,2.4529462289992807
603,370,disgust,angry,2.540089851999255
604,4161,disgust,happy,2.5821603320000577
605,372,disgust,fear,2.4122999820001496
606,166,disgust,neutral,2.447373776000859
607,1168,disgust,disgust,2.4367932400000427
608,2165,disgust,angry,2.494420973999695
609,5437,disgust,disgust,2.5613530109994826
610,4388,disgust,sad,2.4241076950002025
611,2024,disgust,angry,2.4740742919993863
612,4642,disgust,disgust,2.444813553000131
613,4499,disgust,disgust,2.453547318999881
614,4931,disgust,happy,2.4552536190003593
615,398,disgust,neutral,2.6472038499996415
616,2461,disgust,disgust,2.61064627199994
617,2151,disgust,neutral,2.459387792000598
618,4367,disgust,disgust,2.453230827999505
619,2727,disgust,sad,3.68812495200018
620,3725,disgust,sad,5.1433506740004304
621,3094,disgust,disgust,8.43005108899979
622,4106,disgust,disgust,2.4840125969994915
623,3535,disgust,disgust,2.5612536950002323
624,1215,disgust,disgust,2.581102603000545
625,469,disgust,disgust,2.4175812140001653
626,2954,disgust,angry,2.4520543340004224
627,642,disgust,disgust,2.4477154700007304
628,4569,disgust,disgust,2.4793301739991875
629,3455,disgust,happy,2.4955291469996155
630,307,disgust,neutral,2.5463668120000875
631,4179,disgust,disgust,2.4327075390001482
632,5154,disgust,disgust,2.538993457000288
633,286,disgust,neutral,2.442674439000257
634,5173,disgust,disgust,2.418062925000413
635,3555,disgust,angry,2.43588871799966
636,4111,disgust,disgust,2.4150477720004346
637,4772,disgust,disgust,2.455436109999937
638,1368,disgust,disgust,2.4304453180002383
639,837,disgust,disgust,2.8672765379997145
640,798,disgust,sad,3.5813388079996002
641,2084,disgust,angry,10.231495608999467
642,3867,disgust,disgust,3.369974486000501
643,733,disgust,disgust,2.8524115010004607
644,845,disgust,neutral,2.457112514000073
645,2325,disgust,disgust,2.4431557929992778
646,5332,disgust,sad,2.413265157000751
647,4151,disgust,disgust,2.4890642569998818
648,4727,disgust,disgust,2.4249614349992044
649,2444,disgust,neutral,2.4055978289998166
650,4435,disgust,disgust,2.4054282400002194
651,2878,disgust,disgust,2.4425937700007125
652,5474,disgust,angry,2.626469957000154
653,1705,disgust,disgust,2.4235908529999506
654,1766,disgust,angry,2.4205085129997315
655,3344,disgust,disgust,2.4717866000000868
656,626,disgust,neutral,2.421629318999294
657,2528,disgust,disgust,2.4490144330002295
658,4068,disgust,disgust,2.423121015000106
659,2107,disgust,disgust,2.456716757000322
660,1799,disgust,disgust,2.9158216870000615
661,825,disgust,angry,3.5964699559999644
662,4665,disgust,disgust,3.9308381040000313
663,2979,disgust,disgust,3.44789055199999
664,510,disgust,angry,2.4658454030004577
665,3673,disgust,disgust,2.4517800550001994
666,3715,disgust,disgust,2.52253972500057
667,3940,disgust,disgust,2.4249712699993324
668,4827,disgust,angry,2.43883231000018
669,959,disgust,angry,2.4210493050004516
670,4880,disgust,disgust,2.4556425840000884
671,3917,disgust,disgust,2.4514517999996315
672,5367,disgust,disgust,2.5170423999998093
673,977,disgust,happy,2.4657378629999585
674,3664,disgust,angry,2.5548270599992975
675,73,disgust,surprise,2.8787592640001094
676,902,disgust,angry,2.5100251909998406
677,183,disgust,angry,2.5003571139995984
678,4872,disgust,disgust,2.470275894000224
679,373,disgust,disgust,2.4718619949999265
680,4548,disgust,disgust,2.4505112599999848
681,3081,disgust,disgust,2.4875663769998937
682,451,disgust,disgust,2.4359619179995207
683,295,disgust,neutral,3.1487692750006318
684,3110,disgust,disgust,4.000971688999925
685,238,disgust,angry,17.390602043999934
686,5266,disgust,angry,2.992313417999867
687,2925,disgust,angry,2.438772575999792
688,4204,disgust,disgust,2.409242954000547
689,1534,disgust,neutral,2.400560141999449
690,1071,disgust,disgust,2.393493354000384
691,4504,disgust,disgust,2.4725551820001783
692,3015,disgust,disgust,2.5316284440004893
693,3382,disgust,disgust,2.443119380999633
694,1262,disgust,sad,2.384321189999355
695,976,disgust,angry,2.484106363999672
696,318,disgust,angry,2.6398267089998626
