image,labelled_fex,detected_fex,time
3353,angry,sad,0.06568440000410192
3359,angry,fear,0.08733869999559829
336,angry,sad,0.08823739999934332
3381,angry,angry,0.08045670000137761
3384,angry,fear,0.0829094000000623
3395,angry,fear,0.07987199999479344
3401,angry,sad,0.08189480000146432
3405,angry,angry,0.07569459999649553
3406,angry,disgust,0.08658650000143098
3416,angry,angry,0.0643495000040275
3417,angry,neutral,0.08450090000405908
3421,angry,angry,0.0679632000028505
3424,angry,neutral,0.07954749999771593
3426,angry,sad,0.07368689999566413
3429,angry,neutral,0.09543919999850914
3433,angry,angry,0.06768369999917923
3451,angry,angry,0.08883770000102231
3461,angry,neutral,0.06623340000078315
3465,angry,happy,0.09014600000227802
3471,angry,fear,0.08150839999871096
3479,angry,sad,0.06477189999714028
3487,angry,neutral,0.067945900002087
3496,angry,happy,0.08623999999690568
3499,angry,neutral,0.06852130000334
3504,angry,fear,0.06613830000424059
3507,angry,angry,0.06719929999962915
3522,angry,fear,0.08167529999627732
3523,angry,neutral,0.08729070000117645
3530,angry,sad,0.0844710999954259
3531,angry,sad,0.07565079999767477
3533,angry,angry,0.0679355000029318
3537,angry,fear,0.06744989999424433
3547,angry,neutral,0.08722070000658277
3558,angry,neutral,0.06586410000454634
3562,angry,neutral,0.08828219999850262
356,angry,neutral,0.06297710000217194
3591,angry,sad,0.08279659999971045
3607,angry,angry,0.08079359999828739
3618,angry,fear,0.07918249999784166
3629,angry,neutral,0.0838244999977178
3633,angry,sad,0.06725980000192067
3634,angry,sad,0.06604700000025332
3635,angry,neutral,0.08086280000134138
3646,angry,neutral,0.06529350000346312
3648,angry,angry,0.0825777999998536
3657,angry,angry,0.08148179999989225
367,angry,sad,0.07381870000244817
3709,angry,angry,0.06760619999840856
3732,angry,neutral,0.06930050000664778
3738,angry,fear,0.08425490000081481
3753,angry,sad,0.06569699999818113
3757,angry,neutral,0.08578269999998156
3765,angry,angry,0.06545819999882951
3792,angry,neutral,0.07922990000224672
3805,angry,neutral,0.09066319999692496
380,angry,disgust,0.08223359999828972
3811,angry,angry,0.06641559999843594
3813,angry,neutral,0.07034469999780413
3818,angry,fear,0.0892089000044507
3821,angry,angry,0.06428840000444325
3825,angry,neutral,0.0794884000060847
3830,angry,neutral,0.06505960000504274
3833,angry,neutral,0.0890642000013031
383,angry,fear,0.08578839999972843
3847,angry,happy,0.0782206000003498
3858,angry,sad,0.08085420000134036
386,angry,fear,0.08646399999997811
3871,angry,angry,0.07255580000492046
3880,angry,neutral,0.07569589999911841
3882,angry,sad,0.07954569999856176
3885,angry,angry,0.08383779999712715
3890,angry,fear,0.07987130000401521
3904,angry,sad,0.06619969999883324
3913,angry,happy,0.07966440000018338
3926,angry,angry,0.08425910000369186
3930,angry,angry,0.08694939999986673
3934,angry,neutral,0.08397949999925913
3953,angry,fear,0.06500519999826793
3955,angry,happy,0.06374520000099437
3986,angry,neutral,0.06665169999905629
3991,angry,angry,0.06343960000231164
4007,angry,sad,0.0812182000008761
4014,angry,sad,0.0871705999961705
4015,angry,surprise,0.0673464999999851
4028,angry,sad,0.08629849999852013
4029,angry,neutral,0.06826889999501873
4033,angry,sad,0.06488449999596924
4058,angry,angry,0.0788782000017818
4067,angry,angry,0.06976830000348855
4072,angry,angry,0.09047909999935655
407,angry,angry,0.07857209999929182
4081,angry,sad,0.08894729999883566
4099,angry,angry,0.07989839999936521
4100,angry,sad,0.07017259999702219
4115,angry,sad,0.07727539999905275
4122,angry,fear,0.08773389999987558
4127,angry,sad,0.08401649999723304
412,angry,angry,0.08385770000313642
4142,angry,angry,0.07907069999782834
415,angry,sad,0.0808718999978737
4164,angry,angry,0.08003370000369614
4171,angry,neutral,0.08590929999627406
4180,angry,sad,0.07122189999790862
4209,angry,angry,0.07383410000329604
4211,angry,neutral,0.09060880000470206
4214,angry,fear,0.09043240000028163
4218,angry,angry,0.08052010000392329
4229,angry,sad,0.08787750000192318
4237,angry,angry,0.06541049999941606
423,angry,fear,0.08994479999819305
4243,angry,angry,0.06365689999802271
4264,angry,neutral,0.08713500000158092
4270,angry,sad,0.07975070000247797
4275,angry,neutral,0.07057199999690056
4282,angry,angry,0.06778279999707593
4285,angry,fear,0.09532880000188015
4289,angry,sad,0.0680655999967712
4291,angry,sad,0.0830742000034661
4297,angry,sad,0.06596339999668999
4302,angry,sad,0.07882840000092983
4380,angry,happy,0.07014680000429507
4381,angry,angry,0.08444030000100611
4396,angry,neutral,0.07481709999410668
4399,angry,angry,0.06561489999876358
4402,angry,happy,0.08621510000375565
4403,angry,neutral,0.10012680000363616
4405,angry,angry,0.0831659999967087
4415,angry,angry,0.07689140000002226
4420,angry,fear,0.09135439999954542
4422,angry,disgust,0.0798175000018091
4429,angry,angry,0.07134070000029169
4432,angry,sad,0.0889965000023949
4482,angry,neutral,0.09182760000112467
4486,angry,neutral,0.06687409999722149
4487,angry,angry,0.07712069999979576
4507,angry,neutral,0.08592950000456767
4513,angry,happy,0.08173279999755323
4521,angry,sad,0.07085489999735728
453,angry,angry,0.08354140000301413
4541,angry,sad,0.08793529999820748
4552,angry,angry,0.06997579999733716
4557,angry,neutral,0.0849811999942176
4580,angry,angry,0.08440600000176346
4633,angry,surprise,0.08528510000178358
4644,angry,fear,0.06499079999775859
4651,angry,sad,0.09289699999499135
4664,angry,sad,0.0804229999994277
4676,angry,angry,0.07174099999974715
4699,angry,sad,0.08311770000000251
4729,angry,happy,0.06529390000650892
4779,angry,angry,0.06743840000126511
4788,angry,neutral,0.08556360000511631
4794,angry,neutral,0.088900000002468
47,angry,sad,0.08019039999635424
4806,angry,neutral,0.07167850000405451
4813,angry,angry,0.07668310000008205
4816,angry,neutral,0.08658410000498407
4840,angry,fear,0.08285289999912493
4842,angry,happy,0.06679290000465699
4849,angry,neutral,0.08224479999626055
4890,angry,happy,0.08186600000044564
4896,angry,happy,0.08198399999673711
4898,angry,neutral,0.09123649999673944
4899,angry,angry,0.0653156000043964
4901,angry,angry,0.08502779999980703
4902,angry,happy,0.08779279999725986
4915,angry,angry,0.07740969999576919
4938,angry,angry,0.06367889999819454
4958,angry,sad,0.08073529999819584
4969,angry,sad,0.08440990000235615
4973,angry,fear,0.07560490000469144
5019,angry,fear,0.0788098999983049
5025,angry,angry,0.07663509999838425
502,angry,disgust,0.08830820000002859
5033,angry,happy,0.09639669999887701
5044,angry,neutral,0.06739310000557452
5047,angry,sad,0.08804529999906663
5050,angry,surprise,0.0697606999965501
5067,angry,sad,0.0661857000013697
506,angry,neutral,0.0848182000045199
5080,angry,neutral,0.08013170000049286
5082,angry,neutral,0.0843964000014239
5096,angry,angry,0.08348010000190698
5097,angry,angry,0.08271830000012415
5101,angry,angry,0.06221160000131931
5107,angry,sad,0.08126649999758229
5109,angry,fear,0.08462979999603704
5119,angry,neutral,0.08087779999914346
5120,angry,neutral,0.06603639999957522
5123,angry,fear,0.08725879999838071
5151,angry,angry,0.07247939999797381
5169,angry,neutral,0.08859820000361651
5182,angry,neutral,0.08376829999906477
5191,angry,fear,0.06592670000100043
519,angry,angry,0.06497459999809507
5202,angry,neutral,0.09305139999923995
5210,angry,angry,0.07742780000262428
5219,angry,neutral,0.06722789999912493
5221,angry,sad,0.07692719999613473
5230,angry,happy,0.08308679999754531
527,angry,neutral,0.0711855999979889
5316,angry,sad,0.08755589999782387
532,angry,happy,0.06805240000539925
5347,angry,fear,0.0786320999977761
5351,angry,neutral,0.08027489999949466
5356,angry,neutral,0.08209940000233473
5363,angry,fear,0.08189190000121016
5364,angry,angry,0.06763150000188034
536,angry,disgust,0.0817756999967969
5372,angry,sad,0.08751469999697292
5373,angry,happy,0.08911349999834783
5384,angry,disgust,0.08601270000508521
5408,angry,angry,0.0794504000004963
541,angry,angry,0.08674489999975776
542,angry,fear,0.08212069999717642
5434,angry,disgust,0.06866070000251057
5441,angry,fear,0.08255849999841303
5465,angry,fear,0.08041180000145687
5490,angry,disgust,0.07756160000280943
5492,angry,sad,0.08647650000057183
549,angry,fear,0.07333819999621483
559,angry,neutral,0.0843341999934637
569,angry,angry,0.06810090000362834
576,angry,happy,0.06129740000324091
588,angry,angry,0.076111000002129
592,angry,surprise,0.08256870000332128
599,angry,neutral,0.08099550000042655
608,angry,fear,0.08360320000065258
61,angry,happy,0.06656369999836897
628,angry,fear,0.08181419999891659
644,angry,neutral,0.08643770000344375
650,angry,neutral,0.06586129999777768
654,angry,angry,0.07681460000458173
655,angry,happy,0.06617179999739164
690,angry,sad,0.08739849999983562
708,angry,fear,0.06744550000439631
715,angry,surprise,0.08364910000091186
718,angry,disgust,0.08531339999899501
727,angry,sad,0.08383680000406457
739,angry,neutral,0.06673050000244984
740,angry,sad,0.08638440000504488
747,angry,sad,0.08483250000426779
766,angry,neutral,0.06539660000271397
804,angry,fear,0.08571139999548905
807,angry,neutral,0.08585440000024391
810,angry,fear,0.08042160000331933
830,angry,neutral,0.07050170000002254
846,angry,happy,0.06713469999522204
852,angry,neutral,0.08065820000047097
859,angry,fear,0.06814969999686582
864,angry,angry,0.09028309999848716
870,angry,neutral,0.08133339999767486
873,angry,fear,0.09014059999753954
882,angry,angry,0.08647629999904893
886,angry,sad,0.07811360000050627
890,angry,angry,0.08714369999506744
8,angry,sad,0.08737690000270959
901,angry,fear,0.06801300000370247
919,angry,sad,0.06813939999847207
921,angry,fear,0.06389519999356708
929,angry,angry,0.07566470000165282
940,angry,angry,0.08258439999917755
946,angry,fear,0.08246409999992466
963,angry,angry,0.0794776999973692
966,angry,fear,0.08564949999708915
967,angry,angry,0.08243300000322051
975,angry,disgust,0.06889680000313092
980,angry,neutral,0.08570990000589518
996,angry,fear,0.06948430000193184
1003,disgust,angry,0.06567209999775514
1018,disgust,angry,0.08335570000053849
1062,disgust,neutral,0.07082900000386871
1071,disgust,fear,0.08092200000101002
1130,disgust,neutral,0.06998220000241417
1153,disgust,happy,0.07952830000431277
1168,disgust,fear,0.08498040000267792
1183,disgust,fear,0.09230879999813624
1190,disgust,angry,0.06612409999797819
1194,disgust,sad,0.08754800000315299
1210,disgust,angry,0.09783079999760957
1211,disgust,neutral,0.08808430000499357
1212,disgust,sad,0.07935770000040065
1215,disgust,angry,0.07031089999509277
1223,disgust,happy,0.08320929999899818
1241,disgust,happy,0.07921180000266759
1247,disgust,neutral,0.06986569999571657
1253,disgust,fear,0.08579209999879822
1260,disgust,sad,0.06730619999871124
1262,disgust,sad,0.08587819999956992
1273,disgust,sad,0.06818689999636263
1274,disgust,fear,0.08013439999922412
1278,disgust,disgust,0.09680200000002515
1283,disgust,fear,0.07054909999715164
1290,disgust,sad,0.07739120000042021
1312,disgust,angry,0.08722310000302969
1313,disgust,happy,0.06527530000312254
1317,disgust,sad,0.07722890000150073
131,disgust,sad,0.06657239999913145
1324,disgust,disgust,0.07715699999971548
1355,disgust,surprise,0.08456040000601206
1368,disgust,fear,0.07988450000266312
1372,disgust,sad,0.0787683999951696
1377,disgust,fear,0.09292280000227038
1396,disgust,neutral,0.07606249999662396
1397,disgust,angry,0.07552959999884479
142,disgust,neutral,0.09013389999745414
1444,disgust,fear,0.0874072000005981
144,disgust,fear,0.07728239999414654
1457,disgust,sad,0.0849995000025956
145,disgust,neutral,0.09220759999880102
1473,disgust,happy,0.06620049999764888
1487,disgust,happy,0.0909590000010212
148,disgust,fear,0.08280650000233436
1494,disgust,sad,0.07667689999652794
1498,disgust,sad,0.07510270000057062
1499,disgust,happy,0.07998899999802234
1511,disgust,neutral,0.08054550000088057
1534,disgust,neutral,0.08216279999760445
1546,disgust,neutral,0.07060089999868069
1552,disgust,angry,0.07780130000173813
1555,disgust,angry,0.06317480000143405
1571,disgust,angry,0.07766049999918323
1584,disgust,neutral,0.08112260000052629
1592,disgust,angry,0.06747090000135358
1615,disgust,sad,0.0677196000033291
1616,disgust,angry,0.06451170000218553
1654,disgust,angry,0.06905969999934314
166,disgust,fear,0.09992269999929704
1670,disgust,happy,0.07662220000202069
1690,disgust,neutral,0.06643690000055358
1702,disgust,disgust,0.08188429999427171
1705,disgust,neutral,0.08801780000067083
1713,disgust,sad,0.06918510000105016
1755,disgust,happy,0.0890478000001167
1766,disgust,neutral,0.07442629999422934
1785,disgust,angry,0.08769349999784026
178,disgust,sad,0.08823020000272663
1795,disgust,neutral,0.08444629999576136
1796,disgust,neutral,0.08829150000383379
1799,disgust,fear,0.08634750000055647
1805,disgust,angry,0.06556650000129594
1818,disgust,fear,0.07724510000116425
1822,disgust,fear,0.07943490000616293
183,disgust,angry,0.06620809999731136
1853,disgust,neutral,0.07902430000103777
1882,disgust,surprise,0.07581049999862444
1915,disgust,surprise,0.07917430000088643
1926,disgust,angry,0.06678670000110287
1930,disgust,sad,0.06689880000340054
1951,disgust,surprise,0.06916400000045542
1957,disgust,neutral,0.07796819999930449
1966,disgust,neutral,0.0867491000026348
1969,disgust,disgust,0.09023660000093514
2002,disgust,happy,0.08366199999727542
2016,disgust,sad,0.07134740000037709
2018,disgust,sad,0.08316049999848474
2024,disgust,sad,0.06748499999957858
2029,disgust,fear,0.07737559999804944
2030,disgust,fear,0.06758370000170544
2035,disgust,neutral,0.07888059999822872
2038,disgust,sad,0.0799674999943818
2040,disgust,happy,0.08060229999682633
2043,disgust,neutral,0.08862549999321345
2050,disgust,happy,0.091723000005004
2052,disgust,angry,0.08076599999913014
206,disgust,happy,0.09139290000166511
2074,disgust,angry,0.06606270000338554
2084,disgust,neutral,0.0784951000023284
2107,disgust,disgust,0.07768530000612373
2118,disgust,angry,0.06960130000516074
2120,disgust,fear,0.0636062999983551
2123,disgust,happy,0.07962119999865536
2128,disgust,angry,0.08431150000251364
2129,disgust,happy,0.06672029999754159
2146,disgust,angry,0.06731639999634353
2150,disgust,happy,0.08115340000222204
2151,disgust,fear,0.06933769999886863
2162,disgust,neutral,0.06817740000406047
2165,disgust,neutral,0.08665949999704026
2176,disgust,sad,0.06794090000039432
2186,disgust,happy,0.07355049999750918
2190,disgust,angry,0.08364050000091083
2211,disgust,disgust,0.08271410000452306
2215,disgust,angry,0.07150010000623297
2231,disgust,neutral,0.08179070000187494
2244,disgust,angry,0.06869469999946887
2251,disgust,happy,0.06828349999705097
2289,disgust,sad,0.08176319999620318
2307,disgust,angry,0.06791689999954542
2321,disgust,neutral,0.06912140000349609
2324,disgust,angry,0.07608649999747286
2325,disgust,angry,0.07797200000641169
2341,disgust,fear,0.07535949999873992
2369,disgust,fear,0.0649420999980066
2371,disgust,sad,0.06683750000229338
238,disgust,neutral,0.08268990000215126
2395,disgust,fear,0.0652501000004122
2411,disgust,neutral,0.06622219999553636
2423,disgust,sad,0.08238679999340093
2444,disgust,fear,0.09039949999714736
2461,disgust,angry,0.07822640000085812
2464,disgust,neutral,0.06574729999556439
246,disgust,happy,0.09196280000469415
2485,disgust,neutral,0.08917310000106227
2488,disgust,fear,0.07909839999774704
2491,disgust,sad,0.0640136000001803
2501,disgust,angry,0.06987620000290917
2503,disgust,happy,0.08192830000189133
2519,disgust,angry,0.06892249999509659
2524,disgust,angry,0.08531209999637213
2528,disgust,angry,0.07867489999625832
2531,disgust,angry,0.0808578999931342
2545,disgust,fear,0.08585999999922933
2552,disgust,sad,0.0804467999987537
2569,disgust,angry,0.08193320000282256
2590,disgust,neutral,0.06988050000654766
2602,disgust,neutral,0.09103399999730755
2623,disgust,fear,0.07793360000505345
2635,disgust,angry,0.07038220000686124
2644,disgust,disgust,0.0804920000009588
2655,disgust,angry,0.06518590000632685
2667,disgust,fear,0.08521029999974417
2677,disgust,angry,0.06541440000000875
2700,disgust,sad,0.07920000000012806
2710,disgust,fear,0.0870204000020749
2722,disgust,neutral,0.06430349999573082
2725,disgust,angry,0.07262709999486106
2727,disgust,sad,0.06517880000319565
2728,disgust,angry,0.0693159000002197
2736,disgust,neutral,0.08238490000076126
2739,disgust,angry,0.07434560000547208
2743,disgust,angry,0.09207830000377726
2751,disgust,happy,0.06825239999307087
2770,disgust,neutral,0.08031250000203727
2773,disgust,disgust,0.08510779999778606
2795,disgust,happy,0.08331439999892609
2800,disgust,fear,0.07826799999747891
2802,disgust,neutral,0.08450140000059037
2814,disgust,neutral,0.09280820000276435
2817,disgust,sad,0.07781480000267038
2820,disgust,sad,0.06677230000059353
2846,disgust,sad,0.07972970000264468
2854,disgust,sad,0.06363779999810504
2867,disgust,happy,0.07493450000038138
2869,disgust,happy,0.08176130000356352
286,disgust,fear,0.0863790000003064
2877,disgust,happy,0.07026800000312505
2878,disgust,happy,0.0731521999987308
2880,disgust,happy,0.07007819999853382
2882,disgust,disgust,0.08464380000077654
289,disgust,happy,0.06924879999860423
2910,disgust,neutral,0.06574790000013309
2919,disgust,angry,0.08707249999861233
2923,disgust,fear,0.09289490000082878
2925,disgust,sad,0.06851060000190046
2952,disgust,angry,0.0636367999977665
2954,disgust,angry,0.08714830000099028
295,disgust,fear,0.08303080000041518
2963,disgust,fear,0.06472490000305697
2973,disgust,angry,0.08222099999693455
2979,disgust,neutral,0.07104290000279434
2992,disgust,sad,0.08332810000138124
2993,disgust,angry,0.08474009999918053
3005,disgust,sad,0.07023730000219075
300,disgust,fear,0.07714359999954468
3015,disgust,happy,0.08973130000231322
3021,disgust,sad,0.07858190000115428
3025,disgust,angry,0.06669549999787705
303,disgust,neutral,0.0824745999998413
305,disgust,angry,0.07993269999860786
3074,disgust,angry,0.08273499999631895
307,disgust,neutral,0.07062849999783793
3081,disgust,sad,0.08181100000365404
3094,disgust,sad,0.06780820000130916
309,disgust,sad,0.07609339999908116
3110,disgust,disgust,0.08306789999915054
3119,disgust,disgust,0.07745080000313465
3124,disgust,sad,0.06886820000363514
3126,disgust,angry,0.07936319999862462
314,disgust,surprise,0.06922930000291672
3153,disgust,neutral,0.0844338999959291
3160,disgust,angry,0.08622730000206502
3170,disgust,sad,0.0872977000035462
318,disgust,surprise,0.09498139999777777
3232,disgust,sad,0.07866909999575
3239,disgust,sad,0.06486199999926612
3242,disgust,sad,0.06825519999983953
3243,disgust,neutral,0.08120919999782927
3248,disgust,happy,0.08591709999745945
3255,disgust,disgust,0.08749059999536257
3263,disgust,neutral,0.08400309999706224
3271,disgust,happy,0.06905639999604318
3272,disgust,sad,0.08087959999829764
3284,disgust,neutral,0.06875209999998333
328,disgust,angry,0.09071789999870816
3311,disgust,neutral,0.06536189999314956
3323,disgust,fear,0.08220180000353139
3334,disgust,happy,0.08385119999729795
3344,disgust,disgust,0.06941090000327677
3355,disgust,neutral,0.08091039999999339
3368,disgust,neutral,0.08154240000294521
3378,disgust,angry,0.06855039999936707
3382,disgust,angry,0.07589980000193464
338,disgust,angry,0.06762399999570334
3393,disgust,fear,0.06557010000688024
3402,disgust,happy,0.0942055999985314
3414,disgust,disgust,0.08307799999602139
3415,disgust,angry,0.0808928000042215
3455,disgust,happy,0.08305230000405572
3458,disgust,neutral,0.08411669999622973
3489,disgust,angry,0.06916659999842523
3497,disgust,neutral,0.06439569999929518
3535,disgust,angry,0.06825959999696352
353,disgust,neutral,0.08464229999663075
3541,disgust,neutral,0.08056819999910658
3551,disgust,happy,0.08082940000167582
3555,disgust,fear,0.0847280999951181
355,disgust,neutral,0.06905399999959627
3567,disgust,sad,0.08709110000199871
3570,disgust,neutral,0.09260189999622526
3576,disgust,angry,0.08161240000481484
3578,disgust,angry,0.0782857999947737
3579,disgust,sad,0.06986529999994673
3587,disgust,neutral,0.08286690000386443
363,disgust,fear,0.08058860000164714
